key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-243088693,An Improved Distraction Behavior Detection Algorithm Based on YOLOv5,2024,,,"Computers, Materials & Continua",1546-2226,81,2,2571-2585,"Zhou, Keke and Zheng, Guoqiang and Zhai, Huihui and Lv, Xiangshuai and Zhang, Weizhen",https://www.techscience.com/cmc/v81n2/58664,en,,,"Distracted driving remains a primary factor in traffic accidents and poses a significant obstacle to advancing driver assistance technologies. Improving the accuracy of distracted driving can greatly reduce the occurrence of traffic accidents, thereby providing a guarantee for the safety of drivers. However, detecting distracted driving behaviors remains challenging in real-world scenarios with complex backgrounds, varying target scales, and different resolutions. Addressing the low detection accuracy of existing vehicle distraction detection algorithms and considering practical application scenarios, this paper proposes an improved vehicle distraction detection algorithm based on YOLOv5. The algorithm integrates Attention-based Intra-scale Feature Interaction (AIFI) into the backbone network, enabling it to focus on enhancing feature interactions within the same scale through the attention mechanism. By emphasizing important features, this approach improves detection accuracy, thereby enhancing performance in complex backgrounds. Additionally, a Triple Feature Encoding (TFE) module has been added to the neck network. This module utilizes multi-scale features, encoding and fusing them to create a more detailed and comprehensive feature representation, enhancing object detection and localization, and enabling the algorithm to fully understand the image. Finally, the shape-IoU (Intersection over Union) loss function is adopted to replace the original IoU for more precise bounding box regression. Comparative evaluation of the improved YOLOv5 distraction detection algorithm against the original YOLOv5 algorithm shows an average accuracy improvement of 1.8%, indicating significant advantages in solving distracted driving problems.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""driving distraction - not driving fatigue""]}",10.32604/cmc.2024.056863,,,
rayyan-243088694,Using long short term memory and convolutional neural networks for driver drowsiness detection,2021,6,1,Accident Analysis & Prevention,14575,156,,106107,"Quddus, Azhar and Shahidi Zandi, Ali and Prest, Laura and Comeau, Felix J.E.",https://linkinghub.elsevier.com/retrieve/pii/S000145752100138X,en,,,"Fatigue negatively affects the safety and performance of drivers on the road. In fact, drowsiness and fatigue are the cause of a substantial number of motor vehicle accidents. Drowsiness among the drivers can be detected using variety of modalities, including electroencephalogram (EEG), eye movement, and vehicle driving dynamics. Among these EEG is highly accurate but very intrusive and cumbersome. On the other hand, vehicle driving dynamics are very easy to acquire but accuracy is not very high. Eye movement based approach is very attractive in terms of balance between these two extremes. However, eye movement based techniques normally require an eye tracking device which consists of high speed camera with sophisticated algorithm to extract eye movement related parameters such as blinking, eye closure, saccades, fixation etc. This makes eye tracking based drowsiness detection difficult to implement as a practical system, especially on an embedded platform.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1016/j.aap.2021.106107,,,
rayyan-243088695,Using the community health assessment to screen for continued driving,2014,2,1,Accident Analysis & Prevention,14575,63,,104-110,"Morris, John N. and Howard, Elizabeth P. and Fries, Brant E. and Berkowitz, Randi and Goldman, Beryl and David, Daniel",https://linkinghub.elsevier.com/retrieve/pii/S0001457513004405,en,,,"This project used the interRAI based, community health assessment (CHA) to develop a model for identifying current elder drivers whose driving behavior should be reviewed. The assessments were completed by independent housing sites in COLLAGE, a non-proﬁt, national senior housing consortium. Secondary analysis of data drawn from older adults in COLLAGE sites in the United States was conducted using a baseline assessment with 8042 subjects and an annual follow-up assessment with 3840 subjects. Logistic regression was used to develop a Driving Review Index (DRI) based on the most useful items from among the many measures available in the CHA assessment. Thirteen items were identiﬁed by the logistic regression to predict drivers whose driving behavior was questioned by others. In particular, three variables reference compromised decision-making abilities: general daily decisions, a recent decline in ability to make daily decisions, and ability to manage medications. Two additional measures assess cognitive status: short-term memory problem and a diagnosis of non-Alzheimers dementia. Functional measures reﬂect restrictions and general frailty, including receiving help in transportation, use of a locomotion appliance, having an unsteady gait, fatigue, and not going out on most days. The ﬁnal three clinical measures reﬂect compromised vision, little interest or pleasure in things normally enjoyed, and diarrhea. The DRI focuses the review process on drivers with multiple cognitive and functional problems, including a signiﬁcant segment of potentially troubled drivers who had not yet been publicly identiﬁed by others. There is a need for simple and quickly identiﬁed screening tools to identify those older adults whose driving should be reviewed. The DRI, based on the interRAI CHA, ﬁlls this void. Assessment at the individual level needs to be part of the backdrop of science as society seeks to target policy to identify high risk drivers instead of simply age-based testing.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""driving behavior - not driving fatigue""]}",10.1016/j.aap.2013.10.030,,,
rayyan-243088696,Detection and prediction of driver drowsiness using artificial neural network models,2019,5,1,Accident Analysis & Prevention,14575,126,,95-104,"Jacobé De Naurois, Charlotte and Bourdin, Christophe and Stratulat, Anca and Diaz, Emmanuelle and Vercher, Jean-Louis",https://linkinghub.elsevier.com/retrieve/pii/S0001457517304347,en,,,"Not just detecting but also predicting impairment of a car driver’s operational state is a challenge. This study aims to determine whether the standard sources of information used to detect drowsiness can also be used to predict when a given drowsiness level will be reached. Moreover, we explore whether adding data such as driving time and participant information improves the accuracy of detection and prediction of drowsiness. Twenty-one participants drove a car simulator for 110 min under conditions optimized to induce drowsiness. We measured physiological and behavioral indicators such as heart rate and variability, respiration rate, head and eyelid movements (blink duration, frequency and PERCLOS) and recorded driving behavior such as time-to-lanecrossing, speed, steering wheel angle, position on the lane. Diﬀerent combinations of this information were tested against the real state of the driver, namely the ground truth, as deﬁned from video recordings via the Trained Observer Rating. Two models using artiﬁcial neural networks were developed, one to detect the degree of drowsiness every minute, and the other to predict every minute the time required to reach a particular drowsiness level (moderately drowsy). The best performance in both detection and prediction is obtained with behavioral indicators and additional information. The model can detect the drowsiness level with a mean square error of 0.22 and can predict when a given drowsiness level will be reached with a mean square error of 4.18 min. This study shows that, on a controlled and very monotonous environment conducive to drowsiness in a driving simulator, the dynamics of driver impairment can be predicted.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No substantial empirical validation""]}",10.1016/j.aap.2017.11.038,,,
rayyan-243088697,Driver drowsiness detection methods using EEG signals: a systematic review,2023,8,18,Computer Methods in Biomechanics and Biomedical Engineering,"1025-5842, 1476-8259",26,11,1237-1249,"Hussein, Raed Mohammed and Miften, Firas Sabar and George, Loay E.",https://www.tandfonline.com/doi/full/10.1080/10255842.2022.2112574,en,,,"Electroencephalography (EEG) is a complex signal that may require several years of training, advanced signal processing, and feature extraction methodologies to interpret correctly. Recently, many methods have been used to extract and classify EEG data. This study reviews 62 papers that used EEG signals to detect driver drowsiness, published between January 2018 and 2022. We extract trends and highlight interesting approaches from this large body of literature to inform future research and formulate recommendations. To find relevant papers published in scientific journals, conferences, and electronic preprint repositories, researchers searched major databases covering the domains of science and engineering. For each investigation, many data items about (1) the data, (2) the channels used, (3) the extraction and classification procedure, and (4) the outcomes were extracted. These items were then analyzed one by one to uncover trends. Our analysis reveals that the amount of EEG data used across studies varies. We saw that more than half the studies used simulation driving experimental. About 21% of the studies used support vector machine (SVM), while 19% used convolutional neural networks (CNN). Overall, we can conclude that drowsiness and fatigue impair driving performance, resulting in drivers who are more exposed to risky situations.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Review""]}",10.1080/10255842.2022.2112574,,,
rayyan-243088698,A multidimensional adaptive transformer network for fatigue detection,2025,12,1,Cognitive Neurodynamics,"1871-4080, 1871-4099",19,1,43,"Wu, Dingming and Deng, Liu and Lu, Quanping and Liu, Shihong",https://link.springer.com/10.1007/s11571-025-10224-2,en,,,"Variations in information processing patterns induced by operational directives under varying fatigue conditions within the cerebral cortex can be identiﬁed and analyzed through electroencephalogram (EEG) signals. The inherent complexity of EEG signals poses signiﬁcant challenges in the effective detection of driver fatigue across diverse task scenarios. Recent advancements in deep learning, particularly the Transformer architecture, have shown substantial beneﬁts in the retrieval and integration of multi-dimensional information. Nevertheless, the majority of current research primarily focuses on the application of Transformers for temporal information extraction, often overlooking other dimensions of EEG data. In response to this gap, the present study introduces a Multidimensional Adaptive Transformer Recognition Network speciﬁcally tailored for the identiﬁcation of driving fatigue states. This network features a multidimensional Transformer architecture for feature extraction that adaptively assigns weights to various information dimensions, thereby facilitating feature compression and the effective extraction of structural information. This methodology ultimately enhances the model’s accuracy and generalization capabilities. The experimental results indicate that the proposed methodology outperforms existing research methods when utilized with the SEED-VIG and SFDE datasets. Additionally, the analysis of multidimensional and frequency band features highlights the ability of the proposed network framework to elucidate differences in various multidimensional features during the identiﬁcation of fatigue states.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1007/s11571-025-10224-2,,,
rayyan-243088699,Modeling Driver Behavior in Road Traffic Simulation,2022,12,14,Sensors,1424-8220,22,24,9801,"Mecheva, Teodora and Furnadzhiev, Radoslav and Kakanakov, Nikolay",https://www.mdpi.com/1424-8220/22/24/9801,en,,,"Driver behavior models are an important part of road trafﬁc simulation modeling. They encompass characteristics such as mood, fatigue, and response to distracting conditions. The relationships between external factors and the way drivers perform tasks can also be represented in models. This article proposes a methodology for establishing parameters of driver behavior models. The methodology is based on road trafﬁc data and determines the car-following model and routing algorithm and their parameters that best describe driving habits. Sequential and parallel implementation of the methodology through the urban mobility simulator SUMO and Python are proposed. Four car-following models and three routing algorithms and their parameters are investigated. The results of the performed simulations prove the applicability of the methodology. Based on more than 7000 simulations performed, it is concluded that in future experiments of the trafﬁc in Plovdiv it is appropriate to use a Contraction Hierarchies routing algorithm with the default routing step and the Krauss car-following model with the default conﬁguration parameters.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""driving behavior - not driver fatigue""]}",10.3390/s22249801,,,
rayyan-243088700,Deep CNN models-based ensemble approach to driver drowsiness detection,2021,4,1,Neural Computing and Applications,"0941-0643, 1433-3058",33,8,3155-3168,"Dua, Mohit and Shakshi and Singla, Ritu and Raj, Saumya and Jangra, Arti",https://link.springer.com/10.1007/s00521-020-05209-7,en,,,"Statistics have shown that many accidents occur due to drowsy condition of drivers. In a study conducted by National Sleep Foundation, it has been found that about 20% of drivers feel drowsy during driving. These statistics paint a very scary picture. This paper proposes a system for driver drowsiness detection, in which the architecture detects sleepiness of driver. The proposed architecture consists of four deep learning models: AlexNet, VGG-FaceNet, FlowImageNet and ResNet, which use RGB videos of drivers as input and help in detecting drowsiness. Also, these models consider four types of different features such as hand gestures, facial expressions, behavioral features and head movements for the implementation. The AlexNet model is used for various background and environmental changes like indoor, outdoor, day and night. VGG-FaceNet is used to extract facial characteristics like gender ethnicities. FlowImageNet is used for behavioral features and head gestures, and ResNet is used for hand gestures. Hand gestures detection provides a precise and accurate result. These models classify these features into four classes: non-drowsiness, drowsiness with eye blinking, yawning and nodding. The output of these models is provided to ensemble algorithm to obtain a ﬁnal output by putting them through a SoftMax classiﬁer that gives us a positive (drowsy) or negative answer. The accuracy obtained from this system came out to be 85%.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""Hybrid Deep Learning"", ""High Accuracy""]}",10.1007/s00521-020-05209-7,,,
rayyan-243088701,Driver distraction detection using capsule network,2021,6,1,Neural Computing and Applications,"0941-0643, 1433-3058",33,11,6183-6196,"Jain, Deepak Kumar and Jain, Rachna and Lan, Xiangyuan and Upadhyay, Yash and Thareja, Anuj",https://link.springer.com/10.1007/s00521-020-05390-9,en,,,"With the onset of the new technological age, the distractions caused due to handheld devices have been a major cause of trafﬁc accidents as they affect the decision-making capabilities of the driver and give them less time to react to difﬁcult situations. Often drivers try to multitask which reduces their reaction time leading to accidents which could have been easily avoided if they had been attentive. As such problems are related to the driver’s negligence toward safety, a possible solution is to monitor driver’s behavior and notify if they are distracted. We propose a CapsNet-based approach for detecting the distracted driver which is a novel approach. The proposed method scores perform well on the real-world environment inputs when compared to other famous methods used for the same. Our proposed methods get high scores for all the most commonly used metrics for classiﬁcation. On the testing set, the proposed method gets an accuracy of 0.90, 0.92 as precision score, 0.90 as recall score and 0.91 as F-measure.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""driving distraction behavior - not driver fatigue""]}",10.1007/s00521-020-05390-9,,,
rayyan-243088702,"A novel drowsiness detection model using composite features of head, eye, and facial expression",2022,8,,Neural Computing and Applications,"0941-0643, 1433-3058",34,16,13883-13893,"Pandey, Nageshwar Nath and Muppalaneni, Naresh Babu",https://link.springer.com/10.1007/s00521-022-07209-1,en,,,"Drowsiness is the principal cause of road crashes nowadays, as per the existing data. Drowsiness may put many precious lives in jeopardy. Drowsiness may be detected early and accurately, which can save lives. Using computer vision and deep learning techniques, this research proposes a new approach to detect driver drowsiness at an early stage with improved accuracy. In our developed model, we have considered the most signiﬁcant temporal features such as head pose angles (Yaw, Pitch, and Roll), centers of pupil movement, and distance for the emotional feature that help in the detection of drowsiness state more accurately. Our method solves the possibility of occluded frames at initial stage via imposing the occlusion criteria depending on the relationship of distance between pupil centers and the horizontal length of the eye. As a result, it outperformed existing approaches in terms of overall system accuracy and consistency. Furthermore, retrieved features from correct frames are used as training and test data by the long short-term memory network to classify the driver’s state. Here, results are elaborated in terms of area under the curve-receiver operating characteristic curve scores.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1007/s00521-022-07209-1,,,
rayyan-243088703,A new hand-modeled learning framework for driving fatigue detection using EEG signals,2023,7,,Neural Computing and Applications,"0941-0643, 1433-3058",35,20,14837-14854,"Dogan, Sengul and Tuncer, Ilknur and Baygin, Mehmet and Tuncer, Turker",https://link.springer.com/10.1007/s00521-023-08491-3,en,,,"Fatigue detection is a critical application area for machine learning, and variable input data have been utilized to detect fatigue. One of the most commonly used inputs for fatigue detection is electroencephalography (EEG) signals. The main objective of this study is to accurately detect fatigue using a hand-crafted framework. To achieve this, a new signal classiﬁcation framework has been proposed, and its performance has been tested on an EEG fatigue detection dataset. Wavelet packet decomposition with 16 mother wavelet functions has been utilized to extract features from the frequency domain and create a multilevel feature extraction method to calculate frequency subbands. To generate classiﬁcation results, two validation techniques, tenfold cross-validation and leave-one-subject-out (LOSO) validation, have been applied to attain robust classiﬁcation results. The proposed framework achieved high classiﬁcation performance with 99.90% and 82.08% classiﬁcation accuracies using tenfold CV and LOSO CV, respectively. Furthermore, the classiﬁcation performance of each used method in our framework has been analyzed to understand the driving fatigue classiﬁcation effect of the machine learning functions used. The proposed framework attained superior classiﬁcation results, demonstrating its efﬁcacy in accurately detecting fatigue.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Physiological"", ""High Accuracy"", ""Signal Processing""]}",10.1007/s00521-023-08491-3,,,
rayyan-243088704,Optimal feature tuning model by variants of convolutional neural network with LSTM for driver distract detection in IoT platform,2025,6,,Knowledge and Information Systems,"0219-1377, 0219-3116",67,6,5151-5186,"Farhan, Hameed Mutlag and Türkben, Ayça Kurnaz and Naseri, Raghda Awad Shaban",https://link.springer.com/10.1007/s10115-025-02342-4,en,,,"Nowadays, trafﬁc accidents are caused due to the distracted behaviors of drivers that have been noticed with the emergence of smartphones. Due to distracted drivers, more accidents have been reported in recent years. Therefore, there is a need to recognize whether the driver is in a distracted driving state, so essential alerts can be given to the driver to avoid possible safety risks. For supporting safe driving, several approaches for identifying distraction have been suggested based on speciﬁc gaze behavior and driving contexts. Thus, in this paper, a new Internet of Things (IoT)-assisted driver distraction detection model is suggested. Initially, the images from IoT devices are gathered for feature tuning. The set of convolutional neural network (CNN) methods like ResNet, LeNet, VGG 16, AlexNet GoogleNet, InceptionResNet, DenseNet, Xception, and mobilenet are used, in which the best model is selected using Self Adaptive Grass Fibrous Root Optimization (SA-GFRO) algorithm. The optimal feature tuning CNN model processes the input images for obtaining the optimal features. These optimal features are fed into the long short-term memory (LSTM) for getting the classiﬁed distraction behaviors of the drivers. From the validation of the outcomes, the accuracy of the proposed technique is 95.89%. Accordingly, the accuracy of the existing techniques like SMO-LSTM, PSO-LSTM, JA-LSTM, and GFRO-LSTM is attained as 92.62%, 91.08%, 90.99%, and 89.87%, respectively, for dataset 1. Thus, the suggested model achieves better classiﬁcation accuracy while detecting distracted behaviors of drivers and this model can support the drivers to continue with safe driving habits.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""driving distraction behavior - not driving fatigue""]}",10.1007/s10115-025-02342-4,,,
rayyan-243088705,A survey on visual and non-visual features in Driver’s drowsiness detection,2022,11,1,Multimedia Tools and Applications,"1380-7501, 1573-7721",81,26,38175-38215,"Pandey, Nageshwar Nath and Muppalaneni, Naresh Babu",https://link.springer.com/10.1007/s11042-022-13150-1,en,,,"Many road accidents are happening due to the negligent behaviour of the drivers, which increases the death rate day by day. The tiredness and drowsiness of the drivers are the primary cause of road accidents. Due to technological advancement, various techniques evolved to identify the drowsy state and alert the driver. As per the literature, the drowsiness detection techniques are categorized into three classes based on driving pattern, physiological characteristics and Computer vision. Among these techniques, we have focussed mainly on the Computer Vision technique in our survey due to its low cost and nonintrusive nature. This technique analyses the various images of driver’s posture, such as facial expression, yawning duration, head movement and eye closure to identify drowsy state. A detailed comparative study is presented in this paper and observed that spatial feature based techniques have given highest result with precision 97.12%. Also, state-ofthe-art drowsiness detection techniques are exposed, analyzed and reviewed rigorously.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Survey only""]}",10.1007/s11042-022-13150-1,,,
rayyan-243088706,Machine learning and deep learning techniques for driver fatigue and drowsiness detection: a review,2024,1,1,Multimedia Tools and Applications,"1380-7501, 1573-7721",83,3,9441-9477,"El-Nabi, Samy Abd and El-Shafai, Walid and El-Rabaie, El-Sayed M. and Ramadan, Khalil F. and Abd El-Samie, Fathi E. and Mohsen, Saeed",https://link.springer.com/10.1007/s11042-023-15054-0,en,,,"There are several factors for vehicle accidents during driving such as drivers’ negligence, drowsiness, and fatigue. These accidents can be avoided, if drivers are warned in time. Moreover, recent developments in computer vision and artificial intelligence (AI) have helped to monitor drivers and alert them in case they are not concentrating on driving. The AI techniques can extract relevant features from expressions of driver’s face, such as eye closure, yawning, and head movements to infer the level of sleepiness. In addition, they can acquire biological signals from the driver’s body, and indications from the vehicle behavior. This paper provides a comprehensive review of the detection techniques of drowsiness and fatigue of drivers using machine learning (ML) and deep learning (DL). The current techniques for this application are classified into four categories: image- or video-based analysis during the driving, biological signal analysis for drivers, vehicle movement analysis, and hybrid techniques. A review of supervised techniques is presented for detecting fatigue and drowsiness on different datasets, with a comparison of the various techniques in terms of pros and cons. Results are presented in terms of accuracy of detection for each technique. The results are discussed according to the recent problems and challenges in this field. The paper also highlights the applicability and reliability of the different techniques. Furthermore, some suggestions are presented for the future work in the field of driver drowsiness detection (DDD).","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1007/s11042-023-15054-0,,,
rayyan-243088707,"Advanced detection techniques for driver drowsiness: a comprehensive review of machine learning, deep learning, and physiological approaches",2024,7,5,Multimedia Tools and Applications,1573-7721,83,42,90619-90682,"Kamboj, Muskan and Kadian, Karuna and Dwivedi, Vimal and Wary, Alongbar and Ojha, Swastika",https://link.springer.com/10.1007/s11042-024-19738-z,en,,,"Road mishaps, a global concern, see driver fatigue contributing to roughly 40% of accidents in India. Detecting drowsiness early is pivotal in countering this threat. Despite prior research in this domain, many investigations fall short in utilizing extensive, varied datasets or analyzing real-time video streams, both essential for practical implementations. Our research addresses these shortcomings by using a range of classiﬁers, such as Convolutional Neural Networks (CNN), Support Vector Machines (SVM), Hidden Markov Models (HMM), Fuzzy Logic, and several sensors, to assess eye movements and other physiological signs. An in-depth evaluation indicates that CNNs are superior, especially when handling expansive, diverse image sets. This paper provides a comprehensive overview of current models, their pros and cons, classiﬁcation techniques, labeling of drowsiness, and detection approaches, serving as a valuable reference for researchers and professionals aiming to create enhanced systems for real-time driver fatigue detection.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1007/s11042-024-19738-z,,,
rayyan-243088708,Machine learning-based augmented vision for detecting driver drowsiness,2025,4,8,Multimedia Tools and Applications,1573-7721,,,,"Ramarao, Gude and Soni, Palangthod and Vaishnavi, Agraharam Sri and VenkataVarshitha",https://link.springer.com/10.1007/s11042-025-20745-x,en,,,"Fatigued drivers often cause traffic accidents. This study introduces a novel method for detecting fatigue that combines machine learning and image processing techniques. We propose a unique approach that utilizes the Haar Cascade method, the CatBoost algorithm, and an Inception V3 for facial detection and eye classification, allowing for the quick identification and management of drowsiness-related issues. The proposed method uses Haar Cascade for facial detection, proving more reliable than CNN-based methods. A Pythonbased program detects the real-time images of the driver’s face using OpenCV, while deep learning models built on Keras analyze the facial data. The CNN is trained to distinguish between open and closed eyes, aiding in detecting fatigue. When prolonged eye closure is detected, drivers receive immediate advice to stop or take a break. This effort aims to create a fatigue detection system that is both reliable and robust, capable of swiftly identifying prolonged eye closure. Ultimately, our method has the potential to improve road safety significantly and contribute to global initiatives aimed at addressing this critical issue by providing early warnings to drivers.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1007/s11042-025-20745-x,,,
rayyan-243088709,Drowsiness detection using heart rate variability,2016,6,1,Medical & Biological Engineering & Computing,"0140-0118, 1741-0444",54,6,927-937,"Vicente, José and Laguna, Pablo and Bartra, Ariadna and Bailón, Raquel",http://link.springer.com/10.1007/s11517-015-1448-7,en,,,,"RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No abstract"", ""Insufficient Info""]}",10.1007/s11517-015-1448-7,,,
rayyan-243088710,Studying Drowsiness Detection Performance While Driving Through Scalable Machine Learning Models Using Electroencephalography,2024,5,,Cognitive Computation,"1866-9956, 1866-9964",16,3,1253-1267,"Hidalgo Rogel, José Manuel and Martínez Beltrán, Enrique Tomás and Quiles Pérez, Mario and López Bernal, Sergio and Martínez Pérez, Gregorio and Huertas Celdrán, Alberto",https://link.springer.com/10.1007/s12559-023-10233-5,en,,,"Driver drowsiness is a signiﬁcant concern and one of the leading causes of trafﬁc accidents. Advances in cognitive neuroscience and computer science have enabled the detection of drivers’ drowsiness using Brain-Computer Interfaces (BCIs) and Machine Learning (ML). However, the literature lacks a comprehensive evaluation of drowsiness detection performance using a heterogeneous set of ML algorithms, being also necessary to study the performance of scalable ML models suitable for groups of subjects. To address these limitations, this work presents an intelligent framework employing BCIs and features based on electroencephalography for detecting drowsiness in driving scenarios. The SEED-VIG dataset is used to evaluate the best-performing models for individual subjects and groups. Results show that Random Forest (RF) outperformed other models used in the literature, such as Support Vector Machine (SVM), with a 78% f1-score for individual models. Regarding scalable models, RF reached a 79% f1-score, demonstrating the effectiveness of these approaches. This publication highlights the relevance of exploring a diverse set of ML algorithms and scalable approaches suitable for groups of subjects to improve drowsiness detection systems and ultimately reduce the number of accidents caused by driver fatigue. The lessons learned from this study show that not only SVM but also other models not sufﬁciently explored in the literature are relevant for drowsiness detection. Additionally, scalable approaches are effective in detecting drowsiness, even when new subjects are evaluated. Thus, the proposed framework presents a novel approach for detecting drowsiness in driving scenarios using BCIs and ML.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""F1-score reported"", ""ML"", ""EEG"", ""Physiological"", ""BCI + ML"", ""High Accuracy""]}",10.1007/s12559-023-10233-5,,,
rayyan-243088711,Real-Time Distraction Detection from Driving Data Based Personal Driving Model Using Deep Learning,2022,4,,International Journal of Intelligent Transportation Systems Research,"1348-8503, 1868-8659",20,1,238-251,"Nakano, Kotaro and Chakraborty, Basabi",https://link.springer.com/10.1007/s13177-021-00288-9,en,,,"Distracted driving is one of the main cause of traffic accidents. Car manufacurers are now developing various driving support systems to ensure safe driving because it is an important activity of people as their major means of transportation. In this work, we have examined the method of detecting distracted driving from the driving data collected from different sensors attached to a driving simulator while driving with various road conditions and cognitive loads. In our study, we used a driving simulator for collecting data of drivers while driving in normal state with concentration and in distracted state by imposing cognitive load to simulate cognitive distraction. Based on the collected data, we developed driver specific model of driving behaviour in several scenario with increasing cognitive load and attempted to detect distracted driving in real time from the individual driving model to send alert to the driver. We explored machine learning algorithms including deep neural networks for the proposed development of real time cognitive distraction detection method from driving data. It is found that different drivers have different driving behaviour and use of personal driving model is important for the detection of distracted driving in real time. It is also found that convolutional neural network (CNN) is a promising tool for the development of a personalized driving assistance system which can detect distracted driving for alerting a driver in real time.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1007/s13177-021-00288-9,,,
rayyan-243088712,Efficient Driver Drowsiness Detection Using Spatiotemporal Features with Support Vector Machine,2025,3,15,International Journal of Intelligent Transportation Systems Research,"1348-8503, 1868-8659",,,,"Lamouchi, Dorra and Yaddaden, Yacine and Parent, Jérôme and Cherif, Raef",https://link.springer.com/10.1007/s13177-025-00478-9,en,,,"Drowsiness signiﬁcantly impairs human concentration and reﬂexes, leading to a heightened risk of accidents. Despite this, many drivers fail to recognize their drowsiness in time, often with serious consequences. Traditional detection systems based on vehicle movement and steering angles are inadequate in preventing such incidents. Existing vision-based systems, while promising, are typically limited to eye movement analysis, require extensive parameter tuning, and often struggle under varying conditions. To address these challenges, we propose a novel approach for Driver Drowsiness Detection that leverages facial features. Our method utilizes Local Binary Patterns on Three Orthogonal Planes for feature extraction and employs Support Vector Machines for classiﬁcation. Experiments conducted on two benchmark drowsiness datasets, UTA-RLDD and DROZY, demonstrate our system’s efﬁcacy, achieving accuracy rates of 82% and 90%, respectively. These results indicate the potential for a more reliable and non-invasive drowsiness detection system.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""ML"", ""SVM"", ""High Accuracy"", ""Behavioral""]}",10.1007/s13177-025-00478-9,,,
